similarity_quantile,similarity_quantile_label,density_group,mean_success_percent,n_queries
"(-0.001, 52.0]","Q1
-0.0–52.0",High density,46.98275862068966,29
"(-0.001, 52.0]","Q1
-0.0–52.0",Low density,43.18181818181818,121
"(-0.001, 52.0]","Q1
-0.0–52.0",No neighbours,27.25095785440613,261
"(52.0, 56.0]","Q2
52.0–56.0",High density,61.14690721649485,194
"(52.0, 56.0]","Q2
52.0–56.0",Low density,52.083333333333336,216
"(56.0, 59.333]","Q3
56.0–59.3",High density,71.43141945773526,209
"(56.0, 59.333]","Q3
56.0–59.3",Low density,62.618371212121204,176
"(59.333, 63.83]","Q4
59.3–63.8",High density,76.55160390516038,239
"(59.333, 63.83]","Q4
59.3–63.8",Low density,61.64596273291926,161
"(63.83, 95.6]","Q5
63.8–95.6",High density,79.25126903553299,197
"(63.83, 95.6]","Q5
63.8–95.6",Low density,60.792682926829265,205
