similarity_quantile,similarity_quantile_label,density_group,mean_success_percent,n_queries
"(30.153, 53.928]","Q1
30.2–53.9",High density,53.30882352941176,68
"(30.153, 53.928]","Q1
30.2–53.9",Low density,37.32057416267943,209
"(30.153, 53.928]","Q1
30.2–53.9",No neighbours,17.0,125
"(53.928, 57.342]","Q2
53.9–57.3",High density,63.37448559670782,243
"(53.928, 57.342]","Q2
53.9–57.3",Low density,43.43354430379747,158
"(57.342, 61.746]","Q3
57.3–61.7",High density,75.99557522123894,226
"(57.342, 61.746]","Q3
57.3–61.7",Low density,52.28571428571429,175
"(61.746, 70.405]","Q4
61.7–70.4",High density,73.70527306967986,177
"(61.746, 70.405]","Q4
61.7–70.4",Low density,58.64955357142857,224
"(70.405, 97.501]","Q5
70.4–97.5",High density,80.93607305936074,219
"(70.405, 97.501]","Q5
70.4–97.5",Low density,70.83333333333334,183
