model,metric,quantile,minimum_similarity,maximum_similarity,n_queries
Boltz-1,Interaction,Q1,0.0,50.0,18
Boltz-1,Interaction,Q2,50.0,52.833333333333336,17
Boltz-1,Interaction,Q3,53.0,56.579111944965604,17
Boltz-1,Interaction,Q4,56.621212121212125,60.0,17
Boltz-1,Interaction,Q5,60.32786885245902,73.92592592592592,17
Boltz-1,Ligand chemistry,Q1,6.779661016949152,19.230769230769234,18
Boltz-1,Ligand chemistry,Q2,20.0,27.55102040816326,18
Boltz-1,Ligand chemistry,Q3,27.722772277227726,34.31372549019608,18
Boltz-1,Ligand chemistry,Q4,35.36585365853659,50.0,18
Boltz-1,Ligand chemistry,Q5,50.0,93.71136791185167,18
Boltz-1,Ligand pose,Q1,29.297109085609947,48.09782047938394,18
Boltz-1,Ligand pose,Q2,49.275110399182395,53.11739525851494,18
Boltz-1,Ligand pose,Q3,53.2521150985223,55.276191052226054,18
Boltz-1,Ligand pose,Q4,55.29404116485508,59.894921606710554,18
Boltz-1,Ligand pose,Q5,60.04825761686395,91.05108621406454,18
Boltz-1,Pocket,Q1,6.0,74.7,18
Boltz-1,Pocket,Q2,74.76600441501104,76.36363636363636,17
Boltz-1,Pocket,Q3,76.54545454545455,78.71361502347418,17
Boltz-1,Pocket,Q4,78.72549019607843,82.81491853360488,17
Boltz-1,Pocket,Q5,83.47435897435898,91.87748156551334,18
Boltz-1,Protein sequence,Q1,12.0,66.875,18
Boltz-1,Protein sequence,Q2,67.10252100840336,80.51250529885544,18
Boltz-1,Protein sequence,Q3,80.51759220008478,92.875,18
Boltz-1,Protein sequence,Q4,94.0,97.96666666666667,18
Boltz-1,Protein sequence,Q5,98.0,100.0,18
Boltz-1,Protein structure,Q1,40.0,74.25223367697595,18
Boltz-1,Protein structure,Q2,74.50723684210526,77.66782006920415,18
Boltz-1,Protein structure,Q3,77.76116736152471,83.05211726384364,18
Boltz-1,Protein structure,Q4,83.15734989648033,89.74074074074075,18
Boltz-1,Protein structure,Q5,91.66129032258064,98.62244897959184,18
Boltz-2,Interaction,Q1,0.0,50.0,18
Boltz-2,Interaction,Q2,50.0,53.0,17
Boltz-2,Interaction,Q3,53.0,56.86409966024915,17
Boltz-2,Interaction,Q4,56.883597883597886,60.0,17
Boltz-2,Interaction,Q5,60.16129032258065,73.65,17
Boltz-2,Ligand chemistry,Q1,7.766990291262135,20.0,18
Boltz-2,Ligand chemistry,Q2,20.0,27.55102040816326,18
Boltz-2,Ligand chemistry,Q3,27.722772277227726,34.31372549019608,18
Boltz-2,Ligand chemistry,Q4,35.36585365853659,50.0,18
Boltz-2,Ligand chemistry,Q5,51.93661971830986,93.60441020058623,18
Boltz-2,Ligand pose,Q1,29.297109085609947,48.72332223202183,18
Boltz-2,Ligand pose,Q2,49.275110399182395,52.86096594501841,18
Boltz-2,Ligand pose,Q3,52.93914560826897,55.170784815195255,18
Boltz-2,Ligand pose,Q4,55.277115599552765,59.59326287105264,18
Boltz-2,Ligand pose,Q5,60.16880033387978,87.19233815556545,18
Boltz-2,Pocket,Q1,6.0,74.57041251778094,18
Boltz-2,Pocket,Q2,74.74745417515275,76.71698113207547,17
Boltz-2,Pocket,Q3,76.79663819233949,78.83333333333333,17
Boltz-2,Pocket,Q4,78.97777777777777,82.82618825722274,17
Boltz-2,Pocket,Q5,83.34177215189874,91.63248282630029,18
Boltz-2,Protein sequence,Q1,11.0,66.88299531981279,18
Boltz-2,Protein sequence,Q2,67.08372827804108,80.30114308238076,18
Boltz-2,Protein sequence,Q3,80.3058730784391,93.1297071129707,18
Boltz-2,Protein sequence,Q4,93.34848484848484,97.79245283018868,18
Boltz-2,Protein sequence,Q5,97.97,100.0,18
Boltz-2,Protein structure,Q1,40.0,74.51690227412415,18
Boltz-2,Protein structure,Q2,74.7125,77.50179211469533,18
Boltz-2,Protein structure,Q3,77.83185349611543,83.21704545454546,18
Boltz-2,Protein structure,Q4,83.225,89.74074074074075,18
Boltz-2,Protein structure,Q5,90.95698924731182,98.63333333333334,18
