similarity_quantile,similarity_quantile_label,density_group,mean_success_percent,n_queries
"(4.999, 76.435]","Q1
5.0–76.4",High density,52.98245614035088,95
"(4.999, 76.435]","Q1
5.0–76.4",Low density,36.607142857142854,196
"(4.999, 76.435]","Q1
5.0–76.4",No neighbours,24.66216216216216,111
"(76.435, 80.174]","Q2
76.4–80.2",High density,62.252663622526626,219
"(76.435, 80.174]","Q2
76.4–80.2",Low density,54.32692307692307,182
"(80.174, 84.336]","Q3
80.2–84.3",High density,68.38942307692307,208
"(80.174, 84.336]","Q3
80.2–84.3",Low density,58.741408934707906,194
"(84.336, 89.889]","Q4
84.3–89.9",High density,70.625,200
"(84.336, 89.889]","Q4
84.3–89.9",Low density,59.51492537313433,201
"(89.889, 100.0]","Q5
89.9–100.0",High density,79.79351032448379,226
"(89.889, 100.0]","Q5
89.9–100.0",Low density,61.64772727272727,176
