similarity_quantile,similarity_quantile_label,density_group,mean_success_percent,n_queries
"(19.999, 64.415]","Q1
20.0–64.4",High density,42.33870967741936,62
"(19.999, 64.415]","Q1
20.0–64.4",Low density,53.350515463917525,97
"(19.999, 64.415]","Q1
20.0–64.4",No neighbours,55.401234567901234,243
"(64.415, 88.0]","Q2
64.4–88.0",High density,61.506622516556284,151
"(64.415, 88.0]","Q2
64.4–88.0",Low density,53.320053120849934,251
"(88.0, 96.348]","Q3
88.0–96.3",High density,65.56899641577061,186
"(88.0, 96.348]","Q3
88.0–96.3",Low density,57.09302325581396,215
"(96.348, 97.999]","Q4
96.3–98.0",High density,72.3922902494331,294
"(96.348, 97.999]","Q4
96.3–98.0",Low density,62.850467289719624,107
"(97.999, 100.0]","Q5
98.0–100.0",High density,60.15070921985816,188
"(97.999, 100.0]","Q5
98.0–100.0",Low density,52.978971962616825,214
