similarity_quantile,similarity_quantile_label,density_group,mean_success_percent,n_queries
"(47.999, 77.126]","Q1
48.0–77.1",High density,62.1551724137931,145
"(47.999, 77.126]","Q1
48.0–77.1",Low density,52.93427230046949,213
"(47.999, 77.126]","Q1
48.0–77.1",No neighbours,53.125,44
"(77.126, 82.201]","Q2
77.1–82.2",High density,64.36209439528022,226
"(77.126, 82.201]","Q2
77.1–82.2",Low density,54.92857142857142,175
"(82.201, 88.589]","Q3
82.2–88.6",High density,57.4608262108262,234
"(82.201, 88.589]","Q3
82.2–88.6",Low density,57.886904761904766,168
"(88.589, 95.996]","Q4
88.6–96.0",High density,49.42528735632183,116
"(88.589, 95.996]","Q4
88.6–96.0",Low density,56.00877192982456,285
"(95.996, 99.667]","Q5
96.0–99.7",High density,76.4423076923077,260
"(95.996, 99.667]","Q5
96.0–99.7",Low density,53.051643192488264,142
