similarity_metric,similarity_column,threshold,n_total,n_below,n_above,mean_success_below_percent,mean_success_above_percent,delta_success_percent
Protein sequence,protein_fident_max,50,2008,243,1765,55.401234567901234,59.827667610953725,4.426433043052491
Protein sequence,protein_fident_max,60,2008,290,1718,56.077586206896555,59.83459448971673,3.7570082828201734
Protein sequence,protein_fident_max,70,2008,327,1681,56.65137614678899,59.80567122744398,3.1542950806549896
Protein sequence,protein_fident_max,80,2008,367,1641,55.858310626703,60.05992281129393,4.20161218459093
Protein sequence,protein_fident_max,90,2008,411,1597,55.5352798053528,60.258818618242536,4.723538812889738
Protein structure,protein_lddt_max,50,2008,1,2007,75.0,59.28417206444112,-15.71582793555888
Protein structure,protein_lddt_max,60,2008,14,1994,61.60714285714286,59.275743898361746,-2.331398958781117
Protein structure,protein_lddt_max,70,2008,44,1964,53.125,59.430159538357096,6.305159538357097
Protein structure,protein_lddt_max,80,2008,178,1830,51.96629213483146,60.00455373406193,8.038261599230466
Protein structure,protein_lddt_max,90,2008,299,1709,53.67892976588629,60.27403939925884,6.595109633372553
Pocket,pocket_qcov,50,2008,26,1982,31.25,59.659855364951234,28.40985536495123
Pocket,pocket_qcov,60,2008,54,1954,32.63888888888889,60.0285738655749,27.389684976686006
Pocket,pocket_qcov,70,2008,111,1897,24.66216216216216,61.318309611667544,36.65614744950538
Pocket,pocket_qcov,80,2008,206,1802,27.467637540453072,62.930077691453945,35.46244015100088
Pocket,pocket_qcov,90,2008,459,1549,37.26397966594045,65.81934581450398,28.555366148563532
Interaction,pli_qcov,50,2008,261,1747,27.25095785440613,64.0788971570311,36.82793930262497
Interaction,pli_qcov,60,2008,479,1529,33.96833681280445,67.22531066056246,33.256973847758005
Interaction,pli_qcov,70,2008,821,1187,43.5698335363378,70.16638584667228,26.59655231033448
Interaction,pli_qcov,80,2008,1206,802,50.17965726920951,72.99459684123025,22.81493957202074
Interaction,pli_qcov,90,2008,1653,355,55.827787860455736,75.4225352112676,19.59474735081187
Ligand pose,sucos_shape,50,2007,125,1882,17.0,62.105915692525684,45.10591569252568
Ligand pose,sucos_shape,60,2007,340,1667,29.33823529411765,65.40691861627676,36.0686833221591
Ligand pose,sucos_shape,70,2007,644,1363,35.9277950310559,70.338102225483,34.410307194427105
Ligand pose,sucos_shape,80,2007,1023,984,44.33040078201368,74.85602981029811,30.525629028284424
Ligand pose,sucos_shape,90,2007,1436,571,51.775766016713085,78.21074138937536,26.434975372662272
Ligand chemistry,morgan_tanimoto,50,2008,936,1072,50.18696581196581,67.24191542288557,17.054949610919756
Ligand chemistry,morgan_tanimoto,60,2008,1089,919,51.790633608815426,68.1809938338774,16.39036022506196
Ligand chemistry,morgan_tanimoto,70,2008,1219,789,52.778917145200985,69.35466835656948,16.575751211368495
Ligand chemistry,morgan_tanimoto,80,2008,1349,659,53.67865085248332,70.7827516439049,17.104100791421583
Ligand chemistry,morgan_tanimoto,90,2008,1403,605,53.973627940128296,71.62534435261708,17.65171641248878
