query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
5s9l__1__1.A__1.H_1.I,0.75,1,100.0,4,92.53731343283582,92.53731343283582,Low density,Ligand chemistry,morgan_tanimoto,50,75.0
5s9m__1__1.A__1.C_1.I,0.5,1,48.717948717948715,0,,48.717948717948715,No neighbours,Ligand chemistry,morgan_tanimoto,50,50.0
5s9z__1__1.A_1.B__1.R,0.0,1,31.428571428571427,0,,31.428571428571427,No neighbours,Ligand chemistry,morgan_tanimoto,50,0.0
5sau__1__1.A__1.B,1.0,1,46.478873239436616,0,,46.478873239436616,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5sav__1__1.A__1.B,1.0,1,35.13513513513514,0,,35.13513513513514,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5saw__1__1.A__1.B,1.0,1,50.0,1,50.0,50.0,Low density,Ligand chemistry,morgan_tanimoto,50,100.0
5sb2__1__1.A__1.G,1.0,1,34.090909090909086,0,,34.090909090909086,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5scm__1__1.A__1.F_1.G_1.H_1.I,0.625,2,100.0,783,72.53037703258151,72.53037703258151,High density,Ligand chemistry,morgan_tanimoto,50,62.5
5scn__1__1.A__1.B_1.C,1.0,2,100.0,782,72.44342746520576,72.44342746520576,High density,Ligand chemistry,morgan_tanimoto,50,100.0
5sdu__1__1.A__1.G,0.75,1,24.242424242424242,0,,24.242424242424242,No neighbours,Ligand chemistry,morgan_tanimoto,50,75.0
5sdy__1__1.A__1.D,0.25,1,20.618556701030926,0,,20.618556701030926,No neighbours,Ligand chemistry,morgan_tanimoto,50,25.0
5se0__1__1.A__1.G,0.5,1,22.448979591836736,0,,22.448979591836736,No neighbours,Ligand chemistry,morgan_tanimoto,50,50.0
5se2__1__1.A__1.G,0.5,1,35.18518518518518,0,,35.18518518518518,No neighbours,Ligand chemistry,morgan_tanimoto,50,50.0
5se3__1__1.A__1.G,1.0,1,26.31578947368421,0,,26.31578947368421,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5se5__1__1.A__1.G,0.25,1,22.058823529411764,0,,22.058823529411764,No neighbours,Ligand chemistry,morgan_tanimoto,50,25.0
5se6__1__1.A__1.G,0.25,1,25.0,0,,25.0,No neighbours,Ligand chemistry,morgan_tanimoto,50,25.0
5se8__1__1.A__1.G,1.0,1,25.0,0,,25.0,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5se9__1__1.A__1.G,1.0,1,26.31578947368421,0,,26.31578947368421,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5sea__1__1.A__1.G,0.25,1,22.22222222222222,0,,22.22222222222222,No neighbours,Ligand chemistry,morgan_tanimoto,50,25.0
5seb__1__1.A__1.G,0.75,1,45.76271186440678,0,,45.76271186440678,No neighbours,Ligand chemistry,morgan_tanimoto,50,75.0
5sec__1__1.A__1.G,1.0,1,29.310344827586203,0,,29.310344827586203,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5see__1__1.A__1.E,0.5,1,22.340425531914892,0,,22.340425531914892,No neighbours,Ligand chemistry,morgan_tanimoto,50,50.0
5seh__1__1.A__1.G,1.0,1,24.731182795698924,0,,24.731182795698924,No neighbours,Ligand chemistry,morgan_tanimoto,50,100.0
5sek__1__1.A__1.G,0.75,1,30.357142857142854,0,,30.357142857142854,No neighbours,Ligand chemistry,morgan_tanimoto,50,75.0
5sel__1__1.A__1.G,0.75,1,23.809523809523807,0,,23.809523809523807,No neighbours,Ligand chemistry,morgan_tanimoto,50,75.0
