query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
5s9l__1__1.A__1.H_1.I,0.75,1,100.0,8,72.5,72.5,Low density,Interaction,pli_qcov,50,75.0
5s9m__1__1.A__1.C_1.I,0.5,1,75.0,17,57.94117647058823,57.94117647058823,Low density,Interaction,pli_qcov,50,50.0
5s9z__1__1.A_1.B__1.R,0.0,1,50.0,3,50.0,50.0,Low density,Interaction,pli_qcov,50,0.0
5sau__1__1.A__1.B,1.0,1,92.0,783,57.44316730523627,57.44316730523627,High density,Interaction,pli_qcov,50,100.0
5sav__1__1.A__1.B,1.0,1,87.0,243,59.11934156378601,59.11934156378601,High density,Interaction,pli_qcov,50,100.0
5saw__1__1.A__1.B,1.0,1,86.0,493,57.32657200811359,57.32657200811359,High density,Interaction,pli_qcov,50,100.0
5sb2__1__1.A__1.G,1.0,1,68.0,102,55.254901960784316,55.254901960784316,High density,Interaction,pli_qcov,50,100.0
5scm__1__1.A__1.F_1.G_1.H_1.I,0.625,2,94.0,1244,62.07234726688103,62.07234726688103,High density,Interaction,pli_qcov,50,62.5
5scn__1__1.A__1.B_1.C,1.0,2,82.0,874,57.46910755148741,57.46910755148741,High density,Interaction,pli_qcov,50,100.0
5sdu__1__1.A__1.G,0.75,1,59.0,9,55.666666666666664,55.666666666666664,Low density,Interaction,pli_qcov,50,75.0
5sdy__1__1.A__1.D,0.25,1,75.0,19,57.89473684210526,57.89473684210526,Low density,Interaction,pli_qcov,50,25.0
5se0__1__1.A__1.G,0.5,1,75.0,21,57.142857142857146,57.142857142857146,Low density,Interaction,pli_qcov,50,50.0
5se2__1__1.A__1.G,0.5,1,69.0,14,59.42857142857143,59.42857142857143,Low density,Interaction,pli_qcov,50,50.0
5se3__1__1.A__1.G,1.0,1,70.0,17,57.64705882352941,57.64705882352941,Low density,Interaction,pli_qcov,50,100.0
5se5__1__1.A__1.G,0.25,1,100.0,12,72.5,72.5,Low density,Interaction,pli_qcov,50,25.0
5se6__1__1.A__1.G,0.25,1,70.0,8,61.25,61.25,Low density,Interaction,pli_qcov,50,25.0
5se8__1__1.A__1.G,1.0,1,62.0,9,52.666666666666664,52.666666666666664,Low density,Interaction,pli_qcov,50,100.0
5se9__1__1.A__1.G,1.0,1,78.0,10,70.3,70.3,Low density,Interaction,pli_qcov,50,100.0
5sea__1__1.A__1.G,0.25,1,60.0,6,60.0,60.0,Low density,Interaction,pli_qcov,50,25.0
5seb__1__1.A__1.G,0.75,1,77.0,17,64.88235294117646,64.88235294117646,Low density,Interaction,pli_qcov,50,75.0
5sec__1__1.A__1.G,1.0,1,62.0,11,56.0,56.0,Low density,Interaction,pli_qcov,50,100.0
5see__1__1.A__1.E,0.5,1,80.0,19,66.3157894736842,66.3157894736842,Low density,Interaction,pli_qcov,50,50.0
5seh__1__1.A__1.G,1.0,1,100.0,30,75.0,75.0,Low density,Interaction,pli_qcov,50,100.0
5sek__1__1.A__1.G,0.75,1,62.0,14,54.714285714285715,54.714285714285715,Low density,Interaction,pli_qcov,50,75.0
5sel__1__1.A__1.G,0.75,1,60.0,4,60.0,60.0,Low density,Interaction,pli_qcov,50,75.0
5sem__1__1.A__1.G,0.75,1,83.0,11,68.18181818181819,68.18181818181819,Low density,Interaction,pli_qcov,50,75.0
5sen__1__1.A__1.G,1.0,1,83.0,8,68.625,68.625,Low density,Interaction,pli_qcov,50,100.0
5seo__1__1.A__1.G,1.0,1,64.0,8,55.25,55.25,Low density,Interaction,pli_qcov,50,100.0
5sex__1__1.A__1.G,1.0,1,73.0,12,61.75,61.75,Low density,Interaction,pli_qcov,50,100.0
