query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
5s9l__1__1.A__1.H_1.I,0.75,1,98.0,125,94.912,94.912,Low density,Protein sequence,protein_fident_max,50,75.0
5s9m__1__1.A__1.C_1.I,0.5,1,98.0,125,94.544,94.544,Low density,Protein sequence,protein_fident_max,50,50.0
5s9z__1__1.A_1.B__1.R,0.0,1,100.0,173,87.27745664739885,87.27745664739885,High density,Protein sequence,protein_fident_max,50,0.0
5sau__1__1.A__1.B,1.0,1,100.0,42,85.71428571428571,85.71428571428571,Low density,Protein sequence,protein_fident_max,50,100.0
5sav__1__1.A__1.B,1.0,1,99.0,42,85.80952380952381,85.80952380952381,Low density,Protein sequence,protein_fident_max,50,100.0
5saw__1__1.A__1.B,1.0,1,98.0,41,86.78048780487805,86.78048780487805,Low density,Protein sequence,protein_fident_max,50,100.0
5sb2__1__1.A__1.G,1.0,1,98.0,41,87.78048780487805,87.78048780487805,Low density,Protein sequence,protein_fident_max,50,100.0
5scm__1__1.A__1.F_1.G_1.H_1.I,0.625,2,100.0,286,93.74125874125875,93.74125874125875,High density,Protein sequence,protein_fident_max,50,62.5
5scn__1__1.A__1.B_1.C,1.0,2,100.0,286,93.6923076923077,93.6923076923077,High density,Protein sequence,protein_fident_max,50,100.0
5sdu__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sdy__1__1.A__1.D,0.25,1,100.0,243,99.42386831275721,99.42386831275721,High density,Protein sequence,protein_fident_max,50,25.0
5se0__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5se2__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5se3__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5se5__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5se6__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5se8__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5se9__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sea__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5seb__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sec__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5see__1__1.A__1.E,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5seh__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sek__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sel__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sem__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sen__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5seo__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sex__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sez__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sf0__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sf1__1__1.A__1.E,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sf4__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sf7__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sfc__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5sfd__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sfg__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5sfh__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sfl__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sfn__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sfo__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sfp__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sfr__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5sfx__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sfy__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sg0__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sg5__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5sg6__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sg9__1__1.A__1.G,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5sgh__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sgk__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sgl__1__1.A__1.G,0.0,1,100.0,243,99.42386831275721,99.42386831275721,High density,Protein sequence,protein_fident_max,50,0.0
5sgm__1__1.A__1.D,1.0,1,100.0,243,99.42386831275721,99.42386831275721,High density,Protein sequence,protein_fident_max,50,100.0
5sgp__1__1.A__1.H,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sgr__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sgs__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sgt__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5sgw__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sgx__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sgz__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sh0__1__1.A__1.G,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5sh1__1__1.A__1.G,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5sh2__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sh6__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sh8__1__1.A__1.E,0.25,1,100.0,243,99.45679012345678,99.45679012345678,High density,Protein sequence,protein_fident_max,50,25.0
5shc__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5shf__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5shg__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5shh__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5shi__1__1.A__1.E,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5shp__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5shu__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5shx__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5si3__1__1.A__1.E,0.5,1,100.0,243,99.40329218106996,99.40329218106996,High density,Protein sequence,protein_fident_max,50,50.0
5si6__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5si7__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5si8__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5si9__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sie__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sif__1__1.A__1.I,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sig__1__1.A__1.G,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5sih__1__1.A__1.H,0.0,1,100.0,243,99.4320987654321,99.4320987654321,High density,Protein sequence,protein_fident_max,50,0.0
5sio__1__1.A__1.H,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sip__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5siq__1__1.A__1.H,0.25,1,100.0,243,99.42798353909465,99.42798353909465,High density,Protein sequence,protein_fident_max,50,25.0
5sir__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5siy__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5siz__1__1.A__1.G,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5sj1__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sj7__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sj8__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sjb__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5sjc__1__1.A__1.F,0.75,1,100.0,243,99.42386831275721,99.42386831275721,High density,Protein sequence,protein_fident_max,50,75.0
5sjf__1__1.A__1.H,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5sjg__1__1.A__1.G,0.75,1,100.0,243,98.60905349794238,98.60905349794238,High density,Protein sequence,protein_fident_max,50,75.0
5sjl__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5sjo__1__1.A__1.H,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sjt__1__1.A__1.H,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sju__1__1.A__1.G,0.5,1,100.0,243,99.42386831275721,99.42386831275721,High density,Protein sequence,protein_fident_max,50,50.0
5sjv__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sjw__1__1.A__1.I,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5sk0__1__1.A__1.G,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5sk4__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sk5__1__1.A__1.H,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sk6__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5sk9__1__1.A__1.G,1.0,1,100.0,243,99.48971193415638,99.48971193415638,High density,Protein sequence,protein_fident_max,50,100.0
5skd__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5skf__1__1.A__1.I,0.25,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,25.0
5skg__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5skh__1__1.A__1.H,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5ski__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5skl__1__1.A__1.G,1.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,100.0
5skm__1__1.A__1.G,0.75,1,100.0,243,99.4320987654321,99.4320987654321,High density,Protein sequence,protein_fident_max,50,75.0
5sko__1__1.A__1.G,0.5,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,50.0
5skr__1__1.A__1.G,0.75,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,75.0
5skt__1__1.A__1.G,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5sku__1__1.A__1.G,0.0,1,100.0,243,99.43621399176955,99.43621399176955,High density,Protein sequence,protein_fident_max,50,0.0
5slg__1__1.A__1.G,0.0,1,90.0,8,88.0,88.0,Low density,Protein sequence,protein_fident_max,50,0.0
5umb__1__1.A__1.E_1.F_1.G,1.0,1,71.0,262,61.97709923664122,61.97709923664122,High density,Protein sequence,protein_fident_max,50,100.0
6x4j__1__1.A_2.A__2.B_2.C_2.D_2.E,1.0,2,100.0,52,94.61538461538461,94.61538461538461,Low density,Protein sequence,protein_fident_max,50,100.0
6x4k__1__1.A_2.A__1.B_1.C_1.D_1.E,1.0,2,100.0,52,94.61538461538461,94.61538461538461,Low density,Protein sequence,protein_fident_max,50,100.0
6x4l__1__1.A_2.A__2.B_2.C_2.D_2.E,1.0,2,100.0,52,94.53846153846153,94.53846153846153,Low density,Protein sequence,protein_fident_max,50,100.0
6xqr__1__1.B__1.E,0.0,1,100.0,277,99.26353790613719,99.26353790613719,High density,Protein sequence,protein_fident_max,50,0.0
6z48__1__1.B__1.J,1.0,1,100.0,813,98.09594095940959,98.09594095940959,High density,Protein sequence,protein_fident_max,50,100.0
6zfz__1__1.A__1.B,0.75,1,99.0,357,78.46218487394958,78.46218487394958,High density,Protein sequence,protein_fident_max,50,75.0
6zg4__1__1.A__1.B,0.25,1,99.0,340,79.8970588235294,79.8970588235294,High density,Protein sequence,protein_fident_max,50,25.0
6zg9__1__1.A__1.B,1.0,1,99.0,349,79.0487106017192,79.0487106017192,High density,Protein sequence,protein_fident_max,50,100.0
6zk2__1__1.A_1.B__1.E_1.F,0.5,1,32.0,0,,32.0,No neighbours,Protein sequence,protein_fident_max,50,50.0
6zk5__1__1.A_1.B__1.F_1.G,1.0,1,34.0,0,,34.0,No neighbours,Protein sequence,protein_fident_max,50,100.0
6zx1__1__1.A_2.A__1.B,1.0,1,100.0,72,93.65277777777777,93.65277777777777,Low density,Protein sequence,protein_fident_max,50,100.0
7a4q__1__1.A__1.B,1.0,1,100.0,453,93.59381898454747,93.59381898454747,High density,Protein sequence,protein_fident_max,50,100.0
7ab9__1__1.A__1.G_1.P,0.5,1,100.0,347,96.85302593659942,96.85302593659942,High density,Protein sequence,protein_fident_max,50,50.0
7abe__1__1.A__1.G_1.W,1.0,1,100.0,347,96.87319884726224,96.87319884726224,High density,Protein sequence,protein_fident_max,50,100.0
7abj__1__1.A__1.T,1.0,1,100.0,347,96.86455331412104,96.86455331412104,High density,Protein sequence,protein_fident_max,50,100.0
7afz__1__2.A__2.B_2.C_2.D,0.75,1,100.0,110,95.2,95.2,Low density,Protein sequence,protein_fident_max,50,75.0
7ait__1__1.A__1.C,0.25,1,100.0,2588,65.12132921174653,65.12132921174653,High density,Protein sequence,protein_fident_max,50,25.0
7aiu__1__1.A__1.H,0.0,1,100.0,2588,65.129057187017,65.129057187017,High density,Protein sequence,protein_fident_max,50,0.0
7an8__1__1.B__1.E,0.75,1,29.0,0,,29.0,No neighbours,Protein sequence,protein_fident_max,50,75.0
7ana__1__1.A__1.C,0.25,1,27.0,0,,27.0,No neighbours,Protein sequence,protein_fident_max,50,25.0
7au4__1__1.A_2.A__2.D,1.0,1,100.0,836,97.32177033492823,97.32177033492823,High density,Protein sequence,protein_fident_max,50,100.0
7ay9__1__1.A__1.I,0.75,1,100.0,453,94.17880794701986,94.17880794701986,High density,Protein sequence,protein_fident_max,50,75.0
7aya__1__1.A__1.H_1.N_1.U,1.0,1,100.0,453,94.17660044150111,94.17660044150111,High density,Protein sequence,protein_fident_max,50,100.0
7ayz__1__1.A__1.D,0.25,1,99.0,23,89.08695652173913,89.08695652173913,Low density,Protein sequence,protein_fident_max,50,25.0
7b2u__1__1.A_1.B__1.C,0.5,1,100.0,839,97.1668653158522,97.1668653158522,High density,Protein sequence,protein_fident_max,50,50.0
7b3g__1__1.A__1.I,0.5,1,100.0,82,96.58536585365853,96.58536585365853,Low density,Protein sequence,protein_fident_max,50,50.0
7b3h__1__1.A__1.H,1.0,1,100.0,82,96.29268292682927,96.29268292682927,Low density,Protein sequence,protein_fident_max,50,100.0
7b3i__1__1.A__1.I,1.0,1,99.0,82,96.21951219512195,96.21951219512195,Low density,Protein sequence,protein_fident_max,50,100.0
7b3p__1__1.A__1.G,1.0,1,100.0,82,96.3780487804878,96.3780487804878,Low density,Protein sequence,protein_fident_max,50,100.0
7b3x__1__1.A__1.F,1.0,1,100.0,82,96.35365853658537,96.35365853658537,Low density,Protein sequence,protein_fident_max,50,100.0
7b4x__1__1.A__1.M,1.0,1,100.0,82,96.2560975609756,96.2560975609756,Low density,Protein sequence,protein_fident_max,50,100.0
7b6v__1__1.C_1.D__1.Y,0.25,1,100.0,1627,51.98647818070068,51.98647818070068,High density,Protein sequence,protein_fident_max,50,25.0
7b77__1__1.A_2.A__1.F,1.0,1,100.0,841,97.05469678953627,97.05469678953627,High density,Protein sequence,protein_fident_max,50,100.0
7b87__1__1.A__1.N,0.0,1,100.0,82,96.39024390243902,96.39024390243902,Low density,Protein sequence,protein_fident_max,50,0.0
7b89__1__1.A__1.D,0.75,1,100.0,82,97.91463414634147,97.91463414634147,Low density,Protein sequence,protein_fident_max,50,75.0
7b8a__1__1.A__1.F,0.0,1,100.0,82,97.70731707317073,97.70731707317073,Low density,Protein sequence,protein_fident_max,50,0.0
7bbn__1__1.B__1.E_1.F,1.0,1,96.0,216,82.10648148148148,82.10648148148148,High density,Protein sequence,protein_fident_max,50,100.0
7bc1__1__2.A_3.A__3.B_3.C,0.5,2,45.0,0,,45.0,No neighbours,Protein sequence,protein_fident_max,50,50.0
7bc9__1__1.A__1.J,0.0,1,99.0,82,95.64634146341463,95.64634146341463,Low density,Protein sequence,protein_fident_max,50,0.0
7bcf__1__1.A__1.H,1.0,1,99.0,82,95.4390243902439,95.4390243902439,Low density,Protein sequence,protein_fident_max,50,100.0
7bdd__1__1.A__1.G,0.0,1,99.0,82,96.08536585365853,96.08536585365853,Low density,Protein sequence,protein_fident_max,50,0.0
7bi6__1__1.A__1.B_1.G,0.0,1,30.0,0,,30.0,No neighbours,Protein sequence,protein_fident_max,50,0.0
7bia__1__1.A_1.B__1.D_1.E,0.5,2,100.0,302,97.0728476821192,97.0728476821192,High density,Protein sequence,protein_fident_max,50,50.0
7bis__1__1.A_2.A__2.F,0.5,1,100.0,47,95.27659574468085,95.27659574468085,Low density,Protein sequence,protein_fident_max,50,50.0
7bk9__1__1.A_2.A__2.F,0.0,1,100.0,47,94.74468085106383,94.74468085106383,Low density,Protein sequence,protein_fident_max,50,0.0
7blw__1__1.A__1.F,0.5,1,99.0,82,96.64634146341463,96.64634146341463,Low density,Protein sequence,protein_fident_max,50,50.0
7bm3__1__1.A__1.M_1.P,0.0,1,99.0,82,96.6219512195122,96.6219512195122,Low density,Protein sequence,protein_fident_max,50,0.0
7bm7__1__1.A__1.F,0.0,1,99.0,82,96.6219512195122,96.6219512195122,Low density,Protein sequence,protein_fident_max,50,0.0
7bmd__1__1.A__1.G_1.R,0.0,1,98.0,82,95.7439024390244,95.7439024390244,Low density,Protein sequence,protein_fident_max,50,0.0
7bn5__1__1.A__1.G,1.0,1,99.0,82,96.91463414634147,96.91463414634147,Low density,Protein sequence,protein_fident_max,50,100.0
7bn6__1__1.A__1.C_1.D,0.875,2,100.0,52,65.96153846153847,65.96153846153847,Low density,Protein sequence,protein_fident_max,50,87.5
7bn7__1__1.A__1.E_1.F,1.0,1,94.0,61,88.18032786885246,88.18032786885246,Low density,Protein sequence,protein_fident_max,50,100.0
7bn8__1__1.A__1.G,0.75,1,99.0,82,97.04878048780488,97.04878048780488,Low density,Protein sequence,protein_fident_max,50,75.0
7bnc__1__1.A__1.K,0.5,1,99.0,82,97.08536585365853,97.08536585365853,Low density,Protein sequence,protein_fident_max,50,50.0
7bo0__1__1.A__1.C_1.D,0.75,2,100.0,52,66.1923076923077,66.1923076923077,Low density,Protein sequence,protein_fident_max,50,75.0
7bo3__1__1.A__1.M_1.N,0.75,1,100.0,2588,78.16306027820711,78.16306027820711,High density,Protein sequence,protein_fident_max,50,75.0
7bo7__1__1.A__1.C,1.0,1,100.0,88,98.75,98.75,Low density,Protein sequence,protein_fident_max,50,100.0
7cqs__1__1.A__1.B_1.C,1.0,1,100.0,30,96.96666666666667,96.96666666666667,Low density,Protein sequence,protein_fident_max,50,100.0
7dcb__1__1.A_1.B__1.C_1.D,0.5,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,50.0
7dcw__1__1.A_1.B__1.D,0.0,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,0.0
