query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
5s9l__1__1.A__1.H_1.I,0.75,1,97.0,377,84.92838196286472,84.92838196286472,High density,Protein structure,protein_lddt_max,70,75.0
5s9m__1__1.A__1.C_1.I,0.5,1,97.0,360,85.39722222222223,85.39722222222223,High density,Protein structure,protein_lddt_max,70,50.0
5s9z__1__1.A_1.B__1.R,0.0,1,100.0,716,80.94134078212291,80.94134078212291,High density,Protein structure,protein_lddt_max,70,0.0
5sau__1__1.A__1.B,1.0,1,98.0,1637,72.99450213805743,72.99450213805743,High density,Protein structure,protein_lddt_max,70,100.0
5sav__1__1.A__1.B,1.0,1,95.0,1910,72.85340314136126,72.85340314136126,High density,Protein structure,protein_lddt_max,70,100.0
5saw__1__1.A__1.B,1.0,1,94.0,1967,72.57295373665481,72.57295373665481,High density,Protein structure,protein_lddt_max,70,100.0
5sb2__1__1.A__1.G,1.0,1,94.0,2063,72.79350460494426,72.79350460494426,High density,Protein structure,protein_lddt_max,70,100.0
5scm__1__1.A__1.F_1.G_1.H_1.I,0.625,2,96.0,2040,77.12941176470588,77.12941176470588,High density,Protein structure,protein_lddt_max,70,62.5
5scn__1__1.A__1.B_1.C,1.0,2,99.0,1682,76.19024970273485,76.19024970273485,High density,Protein structure,protein_lddt_max,70,100.0
5sdu__1__1.A__1.G,0.75,1,100.0,928,82.44935344827586,82.44935344827586,High density,Protein structure,protein_lddt_max,70,75.0
5sdy__1__1.A__1.D,0.25,1,99.0,940,81.06808510638298,81.06808510638298,High density,Protein structure,protein_lddt_max,70,25.0
5se0__1__1.A__1.G,0.5,1,100.0,931,82.29430719656284,82.29430719656284,High density,Protein structure,protein_lddt_max,70,50.0
5se2__1__1.A__1.G,0.5,1,100.0,933,82.16398713826366,82.16398713826366,High density,Protein structure,protein_lddt_max,70,50.0
5se3__1__1.A__1.G,1.0,1,100.0,935,82.04598930481284,82.04598930481284,High density,Protein structure,protein_lddt_max,70,100.0
5se5__1__1.A__1.G,0.25,1,100.0,933,82.16720257234726,82.16720257234726,High density,Protein structure,protein_lddt_max,70,25.0
5se6__1__1.A__1.G,0.25,1,100.0,935,81.95294117647059,81.95294117647059,High density,Protein structure,protein_lddt_max,70,25.0
5se8__1__1.A__1.G,1.0,1,100.0,935,81.95614973262032,81.95614973262032,High density,Protein structure,protein_lddt_max,70,100.0
5se9__1__1.A__1.G,1.0,1,100.0,930,81.88924731182796,81.88924731182796,High density,Protein structure,protein_lddt_max,70,100.0
5sea__1__1.A__1.G,0.25,1,100.0,929,82.2551130247578,82.2551130247578,High density,Protein structure,protein_lddt_max,70,25.0
5seb__1__1.A__1.G,0.75,1,100.0,932,81.69420600858369,81.69420600858369,High density,Protein structure,protein_lddt_max,70,75.0
5sec__1__1.A__1.G,1.0,1,100.0,929,82.03552206673842,82.03552206673842,High density,Protein structure,protein_lddt_max,70,100.0
5see__1__1.A__1.E,0.5,1,100.0,942,81.61571125265392,81.61571125265392,High density,Protein structure,protein_lddt_max,70,50.0
5seh__1__1.A__1.G,1.0,1,100.0,934,82.27408993576017,82.27408993576017,High density,Protein structure,protein_lddt_max,70,100.0
5sek__1__1.A__1.G,0.75,1,100.0,931,82.30290010741139,82.30290010741139,High density,Protein structure,protein_lddt_max,70,75.0
5sel__1__1.A__1.G,0.75,1,100.0,927,81.95037756202805,81.95037756202805,High density,Protein structure,protein_lddt_max,70,75.0
5sem__1__1.A__1.G,0.75,1,100.0,935,81.82459893048129,81.82459893048129,High density,Protein structure,protein_lddt_max,70,75.0
5sen__1__1.A__1.G,1.0,1,100.0,938,82.04477611940298,82.04477611940298,High density,Protein structure,protein_lddt_max,70,100.0
5seo__1__1.A__1.G,1.0,1,100.0,933,82.33547695605573,82.33547695605573,High density,Protein structure,protein_lddt_max,70,100.0
