query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
5s9l__1__1.A__1.H_1.I,0.75,1,100.0,20,84.55,84.55,Low density,Pocket,pocket_qcov,70,75.0
5s9m__1__1.A__1.C_1.I,0.5,1,97.0,16,85.75,85.75,Low density,Pocket,pocket_qcov,70,50.0
5s9z__1__1.A_1.B__1.R,0.0,1,100.0,21,83.85714285714286,83.85714285714286,Low density,Pocket,pocket_qcov,70,0.0
5sau__1__1.A__1.B,1.0,1,100.0,760,79.90921052631579,79.90921052631579,High density,Pocket,pocket_qcov,70,100.0
5sav__1__1.A__1.B,1.0,1,100.0,888,82.22297297297297,82.22297297297297,High density,Pocket,pocket_qcov,70,100.0
5saw__1__1.A__1.B,1.0,1,100.0,817,82.48470012239902,82.48470012239902,High density,Pocket,pocket_qcov,70,100.0
5sb2__1__1.A__1.G,1.0,1,100.0,939,80.26624068157615,80.26624068157615,High density,Pocket,pocket_qcov,70,100.0
5scm__1__1.A__1.F_1.G_1.H_1.I,0.625,2,98.0,1402,85.30527817403708,85.30527817403708,High density,Pocket,pocket_qcov,70,62.5
5scn__1__1.A__1.B_1.C,1.0,2,98.0,1348,84.66913946587538,84.66913946587538,High density,Pocket,pocket_qcov,70,100.0
5sdu__1__1.A__1.G,0.75,1,96.0,19,80.52631578947368,80.52631578947368,Low density,Pocket,pocket_qcov,70,75.0
5sdy__1__1.A__1.D,0.25,1,77.0,4,75.0,75.0,Low density,Pocket,pocket_qcov,70,25.0
5se0__1__1.A__1.G,0.5,1,78.0,16,74.0,74.0,Low density,Pocket,pocket_qcov,70,50.0
5se2__1__1.A__1.G,0.5,1,100.0,10,92.1,92.1,Low density,Pocket,pocket_qcov,70,50.0
5se3__1__1.A__1.G,1.0,1,95.0,29,79.51724137931035,79.51724137931035,Low density,Pocket,pocket_qcov,70,100.0
5se5__1__1.A__1.G,0.25,1,78.0,25,74.16,74.16,Low density,Pocket,pocket_qcov,70,25.0
5se6__1__1.A__1.G,0.25,1,96.0,12,85.16666666666667,85.16666666666667,Low density,Pocket,pocket_qcov,70,25.0
5se8__1__1.A__1.G,1.0,1,100.0,8,96.0,96.0,Low density,Pocket,pocket_qcov,70,100.0
5se9__1__1.A__1.G,1.0,1,100.0,10,92.1,92.1,Low density,Pocket,pocket_qcov,70,100.0
5sea__1__1.A__1.G,0.25,1,77.0,7,74.71428571428571,74.71428571428571,Low density,Pocket,pocket_qcov,70,25.0
5seb__1__1.A__1.G,0.75,1,96.0,10,89.9,89.9,Low density,Pocket,pocket_qcov,70,75.0
5sec__1__1.A__1.G,1.0,1,90.0,10,84.4,84.4,Low density,Pocket,pocket_qcov,70,100.0
5see__1__1.A__1.E,0.5,1,80.0,13,73.23076923076923,73.23076923076923,Low density,Pocket,pocket_qcov,70,50.0
5seh__1__1.A__1.G,1.0,1,100.0,8,95.0,95.0,Low density,Pocket,pocket_qcov,70,100.0
5sek__1__1.A__1.G,0.75,1,100.0,10,92.1,92.1,Low density,Pocket,pocket_qcov,70,75.0
5sel__1__1.A__1.G,0.75,1,95.0,22,81.81818181818181,81.81818181818181,Low density,Pocket,pocket_qcov,70,75.0
5sem__1__1.A__1.G,0.75,1,88.0,8,84.375,84.375,Low density,Pocket,pocket_qcov,70,75.0
5sen__1__1.A__1.G,1.0,1,100.0,10,89.9,89.9,Low density,Pocket,pocket_qcov,70,100.0
5seo__1__1.A__1.G,1.0,1,100.0,29,79.10344827586206,79.10344827586206,Low density,Pocket,pocket_qcov,70,100.0
