query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
5s9l__1__1.A__1.H_1.I,0.75,1,92.73161432947843,8,68.42467252300042,68.42467252300042,Low density,Ligand pose,sucos_shape,50,75.0
5s9m__1__1.A__1.C_1.I,0.5,1,81.86468726948719,8,67.66456053003638,67.66456053003638,Low density,Ligand pose,sucos_shape,50,50.0
5s9z__1__1.A_1.B__1.R,0.0,1,70.79591163379038,393,51.557072722651874,51.557072722651874,High density,Ligand pose,sucos_shape,50,0.0
5sau__1__1.A__1.B,1.0,1,94.95786104229947,405,59.33339475531323,59.33339475531323,High density,Ligand pose,sucos_shape,50,100.0
5sav__1__1.A__1.B,1.0,1,66.44753333715714,162,55.27127309233936,55.27127309233936,High density,Ligand pose,sucos_shape,50,100.0
5saw__1__1.A__1.B,1.0,1,81.04592936003098,354,58.277435369589654,58.277435369589654,High density,Ligand pose,sucos_shape,50,100.0
5sb2__1__1.A__1.G,1.0,1,72.65927240992622,144,55.72247064099484,55.72247064099484,High density,Ligand pose,sucos_shape,50,100.0
5scm__1__1.A__1.F_1.G_1.H_1.I,0.625,2,92.89282021352622,809,70.99895694482841,70.99895694482841,High density,Ligand pose,sucos_shape,50,62.5
5scn__1__1.A__1.B_1.C,1.0,2,96.61940214542301,974,69.17608679775903,69.17608679775903,High density,Ligand pose,sucos_shape,50,100.0
5sdu__1__1.A__1.G,0.75,1,76.56003284779122,72,56.463106656118285,56.463106656118285,High density,Ligand pose,sucos_shape,50,75.0
5sdy__1__1.A__1.D,0.25,1,46.80028873749502,0,,46.80028873749502,No neighbours,Ligand pose,sucos_shape,50,25.0
5se0__1__1.A__1.G,0.5,1,48.07010192604201,0,,48.07010192604201,No neighbours,Ligand pose,sucos_shape,50,50.0
5se2__1__1.A__1.G,0.5,1,90.52067169429733,118,59.66097890025326,59.66097890025326,High density,Ligand pose,sucos_shape,50,50.0
5se3__1__1.A__1.G,1.0,1,59.976940605207794,72,53.62509267494398,53.62509267494398,High density,Ligand pose,sucos_shape,50,100.0
5se5__1__1.A__1.G,0.25,1,50.07383232186401,1,50.07383232186401,50.07383232186401,Low density,Ligand pose,sucos_shape,50,25.0
5se6__1__1.A__1.G,0.25,1,65.13572354521,94,55.68004775746201,55.68004775746201,High density,Ligand pose,sucos_shape,50,25.0
5se8__1__1.A__1.G,1.0,1,60.80884240785511,47,54.530336824039985,54.530336824039985,Low density,Ligand pose,sucos_shape,50,100.0
5se9__1__1.A__1.G,1.0,1,75.37654806777525,86,57.38343090362936,57.38343090362936,High density,Ligand pose,sucos_shape,50,100.0
5sea__1__1.A__1.G,0.25,1,55.50495273644489,3,52.96476603670697,52.96476603670697,Low density,Ligand pose,sucos_shape,50,25.0
5seb__1__1.A__1.G,0.75,1,81.64557508031372,102,60.16333117162807,60.16333117162807,High density,Ligand pose,sucos_shape,50,75.0
5sec__1__1.A__1.G,1.0,1,79.47486033120667,44,61.21862303237884,61.21862303237884,Low density,Ligand pose,sucos_shape,50,100.0
5see__1__1.A__1.E,0.5,1,53.65806083880095,1,53.65806083880095,53.65806083880095,Low density,Ligand pose,sucos_shape,50,50.0
5seh__1__1.A__1.G,1.0,1,59.53607706584688,12,53.770823719046376,53.770823719046376,Low density,Ligand pose,sucos_shape,50,100.0
5sek__1__1.A__1.G,0.75,1,89.11792281791,107,58.18151559049097,58.18151559049097,High density,Ligand pose,sucos_shape,50,75.0
